sku	asin	price	quantity	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3	Minimum order quantity	Sell remainder
11596RGVC	B0BX4M8TV6	16.30	365	15.97	fixed	6	13.86	12	12.23	18	11.90	50	11.41											
11596VC	B0CLBD9XT4	16.80	365	16.46	fixed	6	14.28	12	12.60	18	12.27	50	11.76											
11619SG	B075RQVQ5B	91.40	19	89.57	fixed	6	77.69	12	68.55	18	66.73	50	63.98											
11620SG	B075RWL1WX	100.70	19	98.69	fixed	6	85.60	12	75.53	18	73.52	50	70.49											
11622VC	B0CL3BCX4J	15.95	1848	15.63	fixed	6	13.56	12	11.97	18	11.65	50	11.17											
11623SGFBA	B075X2MBM8	22.95		22.49	fixed	6	19.51	12	17.22	18	16.76	50	16.07											
11625VCI	B0GM86LTKZ	16.60	4344	16.27	fixed	6	14.11	12	12.45	18	12.12	50	11.62											
11627VCI	B0GM8HHLR2	16.60	3864	16.27	fixed	6	14.11	12	12.45	18	12.12	50	11.62											
11633VC	B0CL3BWTWS	19.90	9265	19.5	fixed	6	16.92	12	14.93	18	14.53	50	13.93											
11648VC	B0CL3B7XN4	23.00	460	22.54	fixed	6	19.55	12	17.25	18	16.79	50	16.10											
11649VC	B0CL3C1Y4T	16.80	82	16.46	fixed	6	14.28	12	12.60	18	12.27	50	11.76											
11649VCFBA	B0CL3C1Y4T	17.95		17.59	fixed	6	15.26	12	13.47	18	13.11	50	12.57											
1164VCO	B076N1LJ95	10.80	99	10.58	fixed	6	9.18	12	8.10	18	7.89	50	7.56											
